REQUIREMENT_DESIGNATION,COURSE,TITLE,UNITS_MINIMUM,UNITS_MAXIMUM,RQMNT_DESIGNTN,LS_ESSENTIAL_SKILL,FIRST_TERM,LAST_TERM,CRSE_ID,FIRST_TERM_CODE,LAST_TERM_CODE
Lab Science,GLG 304,GEOLOGY OF ARIZONA,4,4,LAB,Scientific Inquiry,Fall 2012,,003766,1127,
Lab Science,GLG 304,GEOLOGY OF ARIZONA,4,4,LAB,,Summer 2003,Summer 2012,003766,1034,1124
Lab Science,GLG 304,GEOLOGY OF ARIZONA,0,4,LAB,,Fall 1999,Spring 2003,003766,0997,1031
Lab Science,GLG 304H,GEOLOGY OF ARIZONA-HONORS,4,4,LAB,Scientific Inquiry,Fall 2012,Summer 2014,009387,1127,1144
Lab Science,GLG 304H,GEOLOGY OF ARIZONA-HONORS,4,4,LAB,,Fall 2003,Summer 2012,009387,1037,1124
Lab Science,GSP 150,PHY GEO: AIR WATER ERTH & LIFE,4,4,LAB,Scientific Inquiry,Fall 2013,,003616,1137,
Lab Science,GSP 150,PHYSICAL GEOGRAPHY,4,4,LAB,Scientific Inquiry,Fall 2012,Summer 2013,003616,1127,1134
Lab Science,GSP 150,PHYSICAL GEOGRAPHY,4,4,LAB,,Fall 2011,Summer 2012,003616,1117,1124
Lab Science,HON 142,HONORS SEMINAR: LS,4,4,LAB,,Summer 2004,,009548,1044,
Lab Science,HON 242,HONORS SEMINAR: LS,4,4,LAB,Scientific Inquiry,Fall 2012,,009553,1127,
Lab Science,HON 242,HONORS SEMINAR: LS,4,4,LAB,,Summer 2004,Summer 2012,009553,1044,1124
Lab Science,HON 342,HONORS SEMINAR: LS,4,4,LAB,,Summer 2004,,009557,1044,
Lab Science,PHS 101,PHYSICAL SCI IN EVERYDAY LIFE,4,4,LAB,Scientific Inquiry,Fall 2012,,006609,1127,
Lab Science,PHS 101,PHYSICAL SCI IN EVERYDAY LIFE,4,4,LAB,,Fall 2009,Summer 2012,006609,1097,1124
Lab Science,PHS 101L,PHYSICAL SCI EVERYDAY LIFE LAB,1,1,LAB,,Fall 2005,Summer 2009,006610,1057,1094
Lab Science,PHS 101L,PHS SCI EVRY LIFE LB,1,1,LAB,,Fall 2000,Summer 2005,006610,1007,1054
Lab Science,PHS 101L,PHYS SCI EVRY LIFE LAB,1,1,LAB,,Fall 1999,Sumr 10 Wk 2000,006610,0997,1006
Lab Science,PHY 107L,CONCEPTS OF PHYSICS LAB,1,1,LAB,,Fall 2005,Spring 2012,006646,1057,1121
Lab Science,PHY 107L,CNCPTS PHYSICS LAB,1,1,LAB,,Spring 2000,Spring 2000,006646,1001,1001
Lab Science,PHY 107L,CONCEPTS OF PHY LAB,1,1,LAB,,Fall 1999,Summer 2005,006646,0997,1054
Lab Science,PHY 111,GENERAL PHYSICS I,4,4,LAB,Scientific Inquiry,Fall 2012,,006647,1127,
Lab Science,PHY 111,GENERAL PHYSICS I,4,4,LAB,,Fall 2009,Summer 2012,006647,1097,1124
Lab Science,PHY 111L,GENERAL PHYSICS I LAB,1,1,LAB,,Fall 2005,Summer 2009,006648,1057,1094
Lab Science,PHY 111L,GENERAL PHYSICS LAB,1,1,LAB,,Fall 1999,Summer 2005,006648,0997,1054
Lab Science,PHY 112,GENERAL PHYSICS II,4,4,LAB,Scientific Inquiry,Fall 2012,,006650,1127,
Lab Science,PHY 112,GENERAL PHYSICS II,4,4,LAB,,Fall 2009,Summer 2012,006650,1097,1124
Lab Science,PHY 112L,GEN PHYSICS II LAB,1,1,LAB,,Fall 1999,Summer 2009,006651,0997,1094
Lab Science,PHY 161,UNIVERSITY PHYSICS I,4,4,LAB,Scientific Inquiry,Fall 2012,,006657,1127,
Lab Science,PHY 161,UNIVERSITY PHYSICS I,4,4,LAB,,Fall 2009,Summer 2012,006657,1097,1124
Lab Science,PHY 161L,UNIVERSITY PHYSICS I LAB,1,1,LAB,,Fall 2005,Summer 2009,006658,1057,1094
Lab Science,PHY 161L,UNIV PHYSICS I LAB,1,1,LAB,,Fall 1999,Summer 2005,006658,0997,1054
Lab Science,PHY 171,UNIV PHYSICS I FOR PHYSICISTS,5,5,LAB,,Fall 2012,,010915,1127,
Lab Science,SA 203,TOPICS IN STUDY ABROAD - LS,1,6,LAB,Any Skill,Fall 2012,,009515,1127,
Lab Science,SA 203,TOPICS IN STUDY ABROAD - LS,1,6,LAB,,Spring 2004,Summer 2012,009515,1041,1124
Lab Science,SA 213,TOPICS IN STUDY ABROAD - LS-GD,1,6,LABG,Any Skill,Fall 2012,,009784,1127,
Lab Science,SA 213,TOPICS IN STUDY ABROAD - LS-GD,1,6,LABG,,Fall 2005,Summer 2012,009784,1057,1124
Lab Science,SA 303,SPEC TOPICS IN STDY ABRD-LS,1,6,LAB,Any Skill,Fall 2012,,009519,1127,
Lab Science,SA 303,SPEC TOPICS IN STDY ABRD-LS,1,6,LAB,,Spring 2004,Summer 2012,009519,1041,1124
Lab Science,SA 313,TOPICS IN STUDY ABROAD - LS-GD,1,6,LABG,Any Skill,Fall 2012,,009774,1127,
Lab Science,SA 313,TOPICS IN STUDY ABROAD - LS-GD,1,6,LABG,,Fall 2005,Summer 2012,009774,1057,1124
Science and Applied Science,ANT 101,HUMANKIND EMERGING,3,3,SAS,Scientific Inquiry,Fall 2012,,000271,1127,
Science and Applied Science,ANT 101,HUMANKIND EMERGING,3,3,SAS,,Fall 1999,Summer 2012,000271,0997,1124
Science and Applied Science,ANT 101H,HUMANKIND EMERGING - HONORS,3,3,SAS,Scientific Inquiry,Fall 2012,,009574,1127,
Science and Applied Science,ANT 101H,HUMANKIND EMERGING - HONORS,3,3,SAS,,Fall 2004,Summer 2012,009574,1047,1124
Science and Applied Science,ANT 250,PRINCIPLES OF ARCHAEOLOGY,3,3,SAS,Scientific Inquiry,Fall 2012,,000291,1127,
Science and Applied Science,ANT 250,PRINCIPLES OF ARCHAEOLOGY,3,3,SAS,,Spring 2005,Summer 2012,000291,1051,1124
Science and Applied Science,ANT 250,PRIN OF ARCHAEOLOGY,3,3,SAS,,Fall 1999,Winter 2004,000291,0997,1048
Science and Applied Science,ANT 250H,PRIN OF ARCHAEOLOGY - HONORS,3,3,SAS,Scientific Inquiry,Fall 2012,Summer 2014,000292,1127,1144
Science and Applied Science,ANT 250H,PRIN OF ARCHAEOLOGY - HONORS,3,3,SAS,,Spring 2002,Summer 2012,000292,1021,1124
Science and Applied Science,ANT 271,HUMAN BIOLOGICAL VARIATION,3,3,SAS,Scientific Inquiry,Fall 2012,,000297,1127,
Science and Applied Science,ANT 271,HUMAN BIOLOGICAL VARIATION,3,3,SAS,,Fall 2011,Summer 2012,000297,1117,1124
Science and Applied Science,ANT 377,ANTHROPOLOGY OF RACE,3,3,SAS,Scientific Inquiry,Fall 2012,,010250,1127,
Science and Applied Science,ANT 377,ANTHROPOLOGY OF RACE,3,3,SAS,,Fall 2008,Summer 2012,010250,1087,1124
Science and Applied Science,AST 180,INTRODUCTION TO ASTRONOMY,3,3,SAS,Scientific Inquiry,Fall 2012,,000737,1127,
Science and Applied Science,AST 180,INTRODUCTION TO ASTRONOMY,3,3,SAS,,Spring 2005,Summer 2012,000737,1051,1124
Science and Applied Science,AST 180,INTRO TO ASTRONOMY,3,3,SAS,,Fall 1999,Winter 2004,000737,0997,1048
Science and Applied Science,AST 180H,INTRO TO ASTRONOMY - HONORS,3,3,SAS,Scientific Inquiry,Fall 2012,Summer 2014,009504,1127,1144
Science and Applied Science,AST 180H,INTRO TO ASTRONOMY - HONORS,3,3,SAS,,Winter 2003,Summer 2012,009504,1038,1124
Science and Applied Science,AST 183,LIFE IN THE UNIVERSE,3,3,SAS,Scientific Inquiry,Fall 2012,,009576,1127,
Science and Applied Science,AST 183,LIFE IN THE UNIVERSE,3,3,SAS,,Fall 2004,Summer 2012,009576,1047,1124
Science and Applied Science,BIO 100,PRINCIPLES OF BIOLOGY,3,3,SAS,Scientific Inquiry,Fall 2012,,000895,1127,
Science and Applied Science,BIO 100,PRINCIPLES OF BIOLOGY,3,3,SAS,,Spring 2005,Summer 2012,000895,1051,1124
Science and Applied Science,BIO 100,PRINCIPLES/BIOLOGY,3,3,SAS,,Fall 1999,Winter 2004,000895,0997,1048
Science and Applied Science,BIO 154,ART & SCIENCE OF HUMAN MOVEMT,3,3,SAS,Scientific Inquiry,Fall 2012,,003153,1127,
Science and Applied Science,BIO 154,ART & SCIENCE OF HUMAN MOVEMT,3,3,SAS,,Fall 2008,Summer 2012,003153,1087,1124
Science and Applied Science,BIO 181,UNITY OF LIFE I: CELL LIFE,3,3,SAS,Scientific Inquiry,Fall 2012,,000906,1127,
Science and Applied Science,BIO 181,UNITY OF LIFE I: CELL LIFE,3,3,SAS,,Summer 2005,Summer 2012,000906,1054,1124
Science and Applied Science,BIO 205,MICROBIOLOGY,3,3,SAS,Scientific Inquiry,Fall 2012,,000918,1127,
Science and Applied Science,BIO 205,MICROBIOLOGY,3,3,SAS,,Fall 2011,Summer 2012,000918,1117,1124
Science and Applied Science,BIO 300,HUMAN BIOLOGY,1,1,SAS,Critical Thinking,Spring 2013,,000944,1131,
Science and Applied Science,BIO 300,HUMAN SEXUALITY,1,1,SAS,,Summer I 2002,Sumr 10 Wk 2002,000944,1023,1026
Science and Applied Science,BIO 300,HUMAN BIOLOGY,1,1,SAS,,Fall 1999,Winter 2012,000944,0997,1128
Science and Applied Science,BIO 301,"SCIENCE, RELIGION & REALITY",3,3,SAS,Scientific Inquiry,Fall 2012,,010075,1127,
Science and Applied Science,BIO 301,"SCIENCE, RELIGION & REALITY",3,3,SAS,,Summer 2010,Summer 2012,010075,1104,1124
Science and Applied Science,BIO 302,RELEVANCE OF SCIENCE,3,3,SAS,Scientific Inquiry,Fall 2012,,010076,1127,
Science and Applied Science,BIO 302,RELEVANCE OF SCIENCE,3,3,SAS,,Summer 2010,Summer 2012,010076,1104,1124
Science and Applied Science,BIO 310,SCI CONCEPTS IN HUMAN BIO,3,3,SAS,Critical Thinking,Fall 2012,,000946,1127,
Science and Applied Science,BIO 310,SCI CONCEPTS IN HUMAN BIO,3,3,SAS,,Spring 2003,Summer 2012,000946,1031,1124
Science and Applied Science,BIO 310,HUMAN BIOLOGY,3,3,SAS,,Spring 2000,Fall 2002,000946,1001,1027
Science and Applied Science,BIO 310,SCIENTIFIC CONCEPTS,3,3,SAS,,Fall 1999,Fall 1999,000946,0997,0997
Science and Applied Science,BIO 345,SUSTAINABLE BOTANY,4,4,SAS,,Fall 2011,,000964,1117,
Science and Applied Science,BIO 366,BEHAVIOR OF ANIMALS,3,3,SAS,Scientific Inquiry,Fall 2012,,000967,1127,
Science and Applied Science,BIO 366,BEHAVIOR OF ANIMALS,3,3,SAS,,Fall 1999,Summer 2012,000967,0997,1124
Science and Applied Science,BIO 372,REVOLUTIONARY THOUGHT IN BIO,3,3,SAS,Critical Thinking,Fall 2012,,000972,1127,
Science and Applied Science,BIO 372,REVOLUTIONARY THOUGHT IN BIO,3,3,SAS,,Spring 2005,Summer 2012,000972,1051,1124
Science and Applied Science,BIO 372,REVOL THOUGHT IN BIO,3,3,SAS,,Fall 1999,Winter 2004,000972,0997,1048
Science and Applied Science,CHM 130,FUNDAMENTAL CHEMISTRY,4,4,SAS,Quantitative Reasoning,Fall 2012,Winter 2012,001278,1127,1128
Science and Applied Science,CHM 130,FUNDAMENTAL CHEMISTRY,4,4,SAS,,Spring 2005,,001278,1051,
Science and Applied Science,CHM 130,FUNDAMENTAL CHEM,4,4,SAS,,Fall 1999,Winter 2004,001278,0997,1048
Science and Applied Science,CHM 151,GENERAL CHEMISTRY I,4,4,SAS,Quantitative Reasoning,Fall 2012,,001281,1127,
Science and Applied Science,CHM 151,GENERAL CHEMISTRY I,4,4,SAS,,Fall 1999,Summer 2012,001281,0997,1124
Science and Applied Science,CHM 152,GENERAL CHEMISTRY II,3,3,SAS,Quantitative Reasoning,Fall 2012,,001284,1127,
Science and Applied Science,CHM 152,GENERAL CHEMISTRY II,3,3,SAS,,Fall 1999,Summer 2012,001284,0997,1124
Science and Applied Science,CHM 152H,GENERAL CHEMISTRY II,3,3,SAS,Quantitative Reasoning,Fall 2012,,010307,1127,
Science and Applied Science,CHM 152H,GENERAL CHEMISTRY II,3,3,SAS,,Fall 2008,Summer 2012,010307,1087,1124
Science and Applied Science,CHM 230,FUNDAMENTAL ORGANIC CHEMISTRY,3,3,SAS,Scientific Inquiry,Fall 2012,,001290,1127,
Science and Applied Science,CHM 230,FUNDAMENTAL ORGANIC CHEMISTRY,3,3,SAS,,Spring 2005,Summer 2012,001290,1051,1124
Science and Applied Science,CHM 230,FUND ORGANIC CHEM,3,3,SAS,,Fall 1999,Winter 2004,001290,0997,1048
Science and Applied Science,CHP 210,MEDICAL AND SCIENTIFIC TERMS,4,4,SAS,,Summer 2004,Summer 2005,009302,1044,1054
Science and Applied Science,CHP 210,MEDICAL AND SCIENTIFIC TERMS,3,3,SAS,,Summer 2003,Spring 2004,009302,1034,1041
Science and Applied Science,CIS 120,INTRO TO COMPUTER INFO SYSTEMS,3,3,SAS,Scientific Inquiry,Fall 2012,,001390,1127,
Science and Applied Science,CIS 120,INTRO TO COMPUTER INFO SYSTEMS,3,3,SAS,,Fall 2007,Summer 2012,001390,1077,1124
Science and Applied Science,CIS 120,INTRO TO COMPUTER INFO SYSTEMS,2,2,SAS,,Spring 2005,Summer 2007,001390,1051,1074
Science and Applied Science,CIS 120,INTRO TO C I S,2,2,SAS,,Fall 1999,Winter 2004,001390,0997,1048
Science and Applied Science,CIS 120H,INTRO TO C I S - HONORS,3,3,SAS,Scientific Inquiry,Fall 2012,,009612,1127,
Science and Applied Science,CIS 120H,INTRO TO C I S - HONORS,3,3,SAS,,Fall 2007,Summer 2012,009612,1077,1124
Science and Applied Science,CIS 120H,INTRO TO C I S - HONORS,2,2,SAS,,Fall 2004,Summer 2007,009612,1047,1074
Science and Applied Science,CIS 120L,INTRO TO C I S: LAB,1,1,SAS,,Spring 2005,Summer 2007,001391,1051,1074
Science and Applied Science,CIS 120L,INTRO TO CIS:LAB,1,1,SAS,,Fall 1999,Winter 2004,001391,0997,1048
Science and Applied Science,CS 110,INTRO TO COMPUTER SCIENCE,3,3,SAS,Critical Thinking,Fall 2012,,010182,1127,
Science and Applied Science,CS 110,INTRO TO COMPUTER SCIENCE,3,3,SAS,,Fall 2008,Summer 2012,010182,1087,1124
Science and Applied Science,CS 112,INTRO TO THE WWW & INTERNET,3,3,SAS,Critical Thinking,Fall 2012,,001719,1127,
Science and Applied Science,CS 112,INTRO TO THE WWW & INTERNET,3,3,SAS,,Spring 2005,Summer 2012,001719,1051,1124
Science and Applied Science,CS 112,INTRO WWW & INTERNET,3,3,SAS,,Spring 2003,Winter 2004,001719,1031,1048
Science and Applied Science,CS 122,PROGRAMMING FOR ENG & SCI,2,2,SAS,Critical Thinking,Fall 2012,,001722,1127,
Science and Applied Science,CS 122,PROGRAMMING FOR ENG & SCI,3,3,SAS,,Fall 2008,Summer 2012,001722,1087,1124
Science and Applied Science,CS 122,INTRODUCTION TO PROGRAMMING,3,3,SAS,,Spring 2005,Summer 2008,001722,1051,1084
Science and Applied Science,CS 122,INTRO PROGRAMMING,3,3,SAS,,Spring 2003,Winter 2004,001722,1031,1048
Science and Applied Science,CS 122H,PROGRAMMING/ENG & SCI - HONORS,2,2,SAS,,Fall 2012,Summer 2014,001723,1127,1144
Science and Applied Science,CS 122H,PROGRAMMING/ENG & SCI - HONORS,3,3,SAS,,Fall 2008,Summer 2012,001723,1087,1124
Science and Applied Science,CS 122H,INTRO TO PROGRAMMING-HONORS,3,3,SAS,,Spring 2005,Summer 2008,001723,1051,1084
Science and Applied Science,CS 122H,INTRO TO PROG-HONORS,3,3,SAS,,Spring 2003,Winter 2004,001723,1031,1048
Science and Applied Science,CS 212,WEB PROGRAMMING,3,3,SAS,Critical Thinking,Fall 2012,,001735,1127,
Science and Applied Science,CS 212,WEB PROGRAMMING,3,3,SAS,,Spring 2003,Summer 2012,001735,1031,1124
Science and Applied Science,CSAY 110,INTRO TO COMPUTER INFO SYSTEMS,3,3,SAS,,Fall 2010,,010551,1107,
Science and Applied Science,CSD 191,COM DISORDERS IN LIT AND MEDIA,3,3,SAS,,Spring 2005,Summer 2005,001687,1051,1054
Science and Applied Science,CSD 191,COM DIS-LIT & MEDIA,3,3,SAS,,Spring 2001,Winter 2004,001687,1011,1048
Science and Applied Science,CSE 112,INTRO WWW & INTERNET,3,3,SAS,,Fall 2001,Fall 2002,001719,1017,1027
Science and Applied Science,CSE 122,INTRO PROGRAMMING,3,3,SAS,,Spring 2000,Fall 2002,001722,1001,1027
Science and Applied Science,CSE 122,INTRO TO PROGRAMMING,3,3,SAS,,Fall 1999,Fall 1999,001722,0997,0997
Science and Applied Science,CSE 122H,INTRO TO PROG-HONORS,3,3,SAS,,Fall 2001,Fall 2002,001723,1017,1027
Science and Applied Science,CSE 212,WEB PROGRAMMING,3,3,SAS,,Fall 2001,Fall 2002,001735,1017,1027
Science and Applied Science,ENV 101,INTRO TO ENVIRONMENTAL SCIENCE,3,3,SAS,Critical Thinking,Fall 2012,,002887,1127,
Science and Applied Science,ENV 101,INTRO TO ENVIRONMENTAL SCIENCE,3,3,SAS,,Spring 2005,Summer 2012,002887,1051,1124
Science and Applied Science,ENV 101,ENVIRONMENTAL SCI,3,3,SAS,,Fall 2002,Winter 2004,002887,1027,1048
Science and Applied Science,ENV 101,ENVIRONMENTAL SCI,0,3,SAS,,Fall 1999,Sumr 10 Wk 2002,002887,0997,1026
Science and Applied Science,ENV 101H,INTRO TO ENVIRO SCI - HONORS,3,3,SAS,Critical Thinking,Fall 2012,,002888,1127,
Science and Applied Science,ENV 101H,INTRO TO ENVIRO SCI - HONORS,3,3,SAS,,Spring 2005,Summer 2012,002888,1051,1124
Science and Applied Science,ENV 101H,ENVIRONMENTAL SCI - HONORS,3,3,SAS,,Winter 2003,Winter 2004,002888,1038,1048
Science and Applied Science,ENV 101H,ENVIRONMENTAL SCI - HONORS,0,3,SAS,,Spring 2002,Fall 2003,002888,1021,1037
Science and Applied Science,ENV 110,EXTREME WEATHER,3,3,SAS,Scientific Inquiry,Fall 2012,,002890,1127,
Science and Applied Science,ENV 110,EXTREME WEATHER,3,3,SAS,,Fall 2008,Summer 2012,002890,1087,1124
Science and Applied Science,ENV 110,EARTH'S DYNAMIC ATMOS ENVIRON,3,3,SAS,,Spring 2005,Summer 2008,002890,1051,1084
Science and Applied Science,ENV 110,EARTHS DYN ATMOS ENV,3,3,SAS,,Spring 2003,Winter 2004,002890,1031,1048
Science and Applied Science,ENV 115,CLIMATE CHANGE,3,3,SAS,Critical Thinking,Fall 2012,,010197,1127,
Science and Applied Science,ENV 115,CLIMATE CHANGE,3,3,SAS,,Spring 2008,Summer 2012,010197,1081,1124
Science and Applied Science,ENV 115H,CLIMATE CHANGE - HONORS,3,3,SAS,Critical Thinking,Fall 2012,,010452,1127,
Science and Applied Science,ENV 115H,CLIMATE CHANGE - HONORS,3,3,SAS,,Spring 2010,Summer 2012,010452,1101,1124
Science and Applied Science,ENV 181,ENVIRONMENTAL SUSTAINABILITY,3,3,SAS,Critical Thinking,Fall 2012,,009900,1127,
Science and Applied Science,ENV 181,ENVIRONMENTAL SUSTAINABILITY,3,3,SAS,,Fall 2010,Summer 2012,009900,1107,1124
Science and Applied Science,ENV 181,ENVIRONMENTAL CHALLENGES,3,3,SAS,,Fall 2006,Summer 2010,009900,1067,1104
Science and Applied Science,ENV 300,PROBLEMS IN ENVIRO SCIENCE,1,1,SAS,,Fall 2005,Spring 2009,002897,1057,1091
Science and Applied Science,ENV 373,SW ENVIRONMENTS THROUGH TIME,3,3,SAS,Critical Thinking,Fall 2014,,011586,1147,
Science and Applied Science,ENV 377,HUMANS AND THE HYDROSPHERE,3,3,SAS,Critical Thinking,Summer 2014,,011587,1144,
Science and Applied Science,EXS 150,ART & SCIENCE OF HUMAN MOVEMT,3,3,SAS,,Spring 2005,Summer 2008,003153,1051,1084
Science and Applied Science,EXS 150,ART & SCI HUMAN MVMT,3,3,SAS,,Summer I 2002,Winter 2004,003153,1023,1048
Science and Applied Science,FOR 240,INTRO TO CONSERVATION BIOLOGY,3,3,SAS,Critical Thinking,Fall 2012,,003340,1127,
Science and Applied Science,FOR 240,INTRO TO CONSERVATION BIOLOGY,3,3,SAS,,Spring 2005,Summer 2012,003340,1051,1124
Science and Applied Science,FOR 240H,INTRO TO CONSERV BIO - HONORS,3,3,SAS,Critical Thinking,Fall 2012,,003341,1127,
Science and Applied Science,FOR 240H,INTRO TO CONSERV BIO - HONORS,3,3,SAS,,Spring 2005,Summer 2012,003341,1051,1124
Science and Applied Science,FOR 250,ARIZONA FORESTS AND WILDLIFE,3,3,SAS,Scientific Inquiry,Fall 2012,,003342,1127,
Science and Applied Science,FOR 250,ARIZONA FORESTS AND WILDLIFE,3,3,SAS,,Fall 2005,Summer 2012,003342,1057,1124
Science and Applied Science,FOR 250,AZ FOREST & WILDLIFE,3,3,SAS,,Fall 1999,Summer 2005,003342,0997,1054
Science and Applied Science,FOR 250H,AZ  FORESTS & WILDLIFE-HONORS,3,3,SAS,,Fall 2005,,003343,1057,
Science and Applied Science,FOR 250H,AZ FOREST & WILDLIFE - HONORS,3,3,SAS,,Spring 2002,Summer 2005,003343,1021,1054
Science and Applied Science,FOR 254,INTRO TO FOREST HEALTH,3,3,SAS,,Fall 2005,Spring 2010,009809,1057,1101
Science and Applied Science,FOR 255,INTERNATIONAL WILDLIFE ISSUES,3,3,SASG,Oral Communication,Fall 2012,,003344,1127,
Science and Applied Science,FOR 255,INTERNATIONAL WILDLIFE ISSUES,3,3,SASG,,Fall 2005,Summer 2012,003344,1057,1124
Science and Applied Science,FOR 255,INTL WILDLIFE ISSUES,3,3,SAS,,Fall 2001,Summer 2005,003344,1017,1054
Science and Applied Science,FOR 255H,INT'L WILDLIFE ISSUES - HONORS,3,3,SASG,,Fall 2009,Summer 2014,010172,1097,1144
Science and Applied Science,FOR 255H,INTERNATIONAL WILDLIFE ISSUES,3,3,SASG,,Spring 2008,Summer 2009,010172,1081,1094
Science and Applied Science,FOR 270,NATIVE AMERICAN ECOLOGY,3,3,SASE,Critical Thinking,Fall 2012,,003345,1127,
Science and Applied Science,FOR 270,NATIVE AMERICAN ECOLOGY,3,3,SASE,,Spring 2007,Summer 2012,003345,1071,1124
Science and Applied Science,FOR 270,NATIVE AMERICAN ECOLOGY,3,3,SAS,,Fall 2005,Winter 2006,003345,1057,1068
Science and Applied Science,FOR 270,NATIVE AMERICAN ECOL,3,3,SAS,,Spring 2003,Spring 2003,003345,1031,1031
Science and Applied Science,FOR 270,NATIVE AMER ECOLOGY,3,3,SAS,,Fall 2002,Summer 2005,003345,1027,1054
Science and Applied Science,FOR 270,NATIVE AMER. ECOLOGY,3,3,SAS,,Fall 2001,Sumr 10 Wk 2002,003345,1017,1026
Science and Applied Science,FOR 270H,NATIVE AMERICAN ECOLOGY-HONORS,3,3,SASE,,Spring 2007,,003346,1071,
Science and Applied Science,FOR 270H,NATIVE AMERICAN ECOLOGY-HONORS,3,3,SAS,,Fall 2005,Winter 2006,003346,1057,1068
Science and Applied Science,FOR 270H,NATIVE AMERICAN ECOL - HONORS,3,3,SAS,,Spring 2003,Spring 2003,003346,1031,1031
Science and Applied Science,FOR 270H,NAT AMER ECOL-HONORS,3,3,SAS,,Fall 2001,Summer 2005,003346,1017,1054
Science and Applied Science,FOR 340,ENVIRONMENTAL HYDROLOGY,3,3,SAS,Scientific Inquiry,Fall 2012,,003369,1127,
Science and Applied Science,FOR 340,ENVIRONMENTAL HYDROLOGY,3,3,SAS,,Fall 2005,Summer 2012,003369,1057,1124
Science and Applied Science,FOR 340,ENVIRON HYDROLOGY,3,3,SAS,,Fall 2002,Summer 2005,003369,1027,1054
Science and Applied Science,FOR 340,ENVIRO HYDROLOGY,3,3,SAS,,Fall 2001,Sumr 10 Wk 2002,003369,1017,1026
Science and Applied Science,FOR 340H,ENVIRONMTL HYDROLOGY - HONORS,3,3,SAS,Scientific Inquiry,Fall 2012,Summer 2014,003370,1127,1144
Science and Applied Science,FOR 340H,ENVIRONMTL HYDROLOGY - HONORS,3,3,SAS,,Fall 2011,Summer 2012,003370,1117,1124
Science and Applied Science,FOR 340H,ENVIRONMENTAL HYDROLOGY-HONORS,3,3,SAS,,Fall 2005,Summer 2011,003370,1057,1114
Science and Applied Science,FOR 340H,ENV HYDROLOGY-HONORS,3,3,SAS,,Fall 2001,Summer 2005,003370,1017,1054
Science and Applied Science,FOR 370,INDIGNUS KNWLDGE: ECO IMPLCTNS,3,3,SAS,Critical Thinking,Fall 2012,Summer 2014,003373,1127,1144
Science and Applied Science,FOR 370,INDIGNUS KNWLDGE: ECO IMPLCTNS,3,3,SAS,,Fall 2005,Summer 2012,003373,1057,1124
Science and Applied Science,FOR 370,INDIGEN KNOW: ECO IMP,3,3,SAS,,Fall 2001,Summer 2005,003373,1017,1054
Science and Applied Science,FOR 382,ECOLOGICAL RESTORATION,3,3,SAS,Scientific Inquiry,Fall 2012,,003377,1127,
Science and Applied Science,FOR 382,ECOLOGICAL RESTORATION,3,3,SAS,,Fall 2008,Summer 2012,003377,1087,1124
Science and Applied Science,FOR 382,ECOLOGICAL RESTORATN APPLICTNS,3,3,SAS,,Spring 2005,Summer 2008,003377,1051,1084
Science and Applied Science,FOR 382,ECOL REST APP,3,3,SAS,,Fall 2004,Winter 2004,003377,1047,1048
Science and Applied Science,FOR 382H,ECOLOGICAL RESTORATION-HONORS,3,3,SAS,,Fall 2008,,003378,1087,
Science and Applied Science,FOR 382H,ECOLOGICAL RESTRATN APP-HONORS,3,3,SAS,,Spring 2005,Summer 2008,003378,1051,1084
Science and Applied Science,FOR 382H,ECOL REST APP-HONORS,3,3,SAS,,Fall 2004,Winter 2004,003378,1047,1048
Science and Applied Science,FS 111,SCIENCE FIRST YEAR SEMINAR,3,3,SAS,Any Skill,Fall 2012,Summer 2014,010124,1127,1144
Science and Applied Science,FS 111,SCIENCE FIRST YEAR SEMINAR,3,3,SAS,,Fall 2007,Summer 2012,010124,1077,1124
Science and Applied Science,FS 111H,SAS 1ST YEAR SEMINAR - HONORS,3,3,SAS,Any Skill,Fall 2013,Summer 2014,010286,1137,1144
Science and Applied Science,FS 111H,SCIENCE FIRST YEAR SEMINAR,3,3,SAS,Any Skill,Fall 2012,Summer 2013,010286,1127,1134
Science and Applied Science,FS 111H,SCIENCE FIRST YEAR SEMINAR,3,3,SAS,,Fall 2008,Summer 2012,010286,1087,1124
Science and Applied Science,FYS 111,SCIENCE FIRST YEAR SEMINAR,3,3,SAS,Any Skill,Fall 2014,,010124,1147,
Science and Applied Science,FYS 111H,SAS 1ST YEAR SEMINAR - HONORS,3,3,SAS,Any Skill,Fall 2014,,010286,1147,
Science and Applied Science,GGR 239,INTRO TO GEOGRAPHIC INFO SYS,4,4,SAS,,Fall 2005,Summer 2011,003612,1057,1114
Science and Applied Science,GGR 239,INTRO TO GIS,4,4,SAS,,Fall 2002,Summer 2005,003612,1027,1054
Science and Applied Science,GGR 239,INTRO TO GIS,0,4,SAS,,Spring 2001,Sumr 10 Wk 2002,003612,1011,1026
Science and Applied Science,GGR 340,ENVIRONMENTAL HYDROLOGY,3,3,SAS,,Fall 2005,Fall 2006,003636,1057,1067
Science and Applied Science,GGR 340,ENVIRON HYDROLOGY,3,3,SAS,,Fall 2001,Summer 2005,003636,1017,1054
Science and Applied Science,GLG 100,INTRODUCTORY GEOLOGY,3,3,SAS,Scientific Inquiry,Fall 2012,,003740,1127,
Science and Applied Science,GLG 100,INTRODUCTORY GEOLOGY,3,3,SAS,,Fall 1999,Summer 2012,003740,0997,1124
